#pathotypes	stx1A	stx1B	stx2A	stx2B	stx2fA	stx2fB	eltIIAB	eltIAB	estap	estb	estah	aggR	eae	bfpA	ipaD	ipaH	ipaH7_8	ipaH9_8
STEC	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
STEC	0	0	1	1	2	2	0	0	0	0	0	0	2	0	0	0	0	0
STEC	1	1	1	1	2	2	0	0	0	0	0	0	2	0	0	0	0	0
STEC	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0
tEPEC	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
aEPEC	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
EAEC	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ETEC	0	0	0	0	0	0	1	2	2	2	2	0	0	0	0	0	0	0
ETEC	0	0	0	0	0	0	2	1	2	2	2	0	0	0	0	0	0	0
ETEC	0	0	0	0	0	0	2	2	1	2	2	0	0	0	0	0	0	0
ETEC	0	0	0	0	0	0	2	2	2	1	2	0	0	0	0	0	0	0
ETEC	0	0	0	0	0	0	2	2	2	2	1	0	0	0	0	0	0	0
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	2
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	2
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	2
EIEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1
Shigella ST1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2
Shigella ST1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2
Shigella ST1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1
STEC-EAEC	1	2	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0
STEC-EAEC	2	1	2	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0
STEC-EAEC	2	2	1	2	2	2	0	0	0	0	0	1	2	0	0	0	0	0
STEC-EAEC	2	2	2	1	2	2	0	0	0	0	0	1	2	0	0	0	0	0
STEC-EAEC	2	2	2	2	1	2	0	0	0	0	0	1	2	0	0	0	0	0
STEC-EAEC	2	2	2	2	2	1	0	0	0	0	0	1	2	0	0	0	0	0
STEC-ETEC	1	2	2	2	2	2	1	2	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	1	2	2	2	2	2	2	1	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	1	2	2	2	2	2	2	2	1	2	2	0	2	0	0	0	0	0
STEC-ETEC	1	2	2	2	2	2	2	2	2	1	2	0	2	0	0	0	0	0
STEC-ETEC	1	2	2	2	2	2	2	2	2	2	1	0	2	0	0	0	0	0
STEC-ETEC	2	1	2	2	2	2	1	2	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	1	2	2	2	2	2	1	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	1	2	2	2	2	2	2	1	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	1	2	2	2	2	2	2	2	1	2	0	2	0	0	0	0	0
STEC-ETEC	2	1	2	2	2	2	2	2	2	2	1	0	2	0	0	0	0	0
STEC-ETEC	2	2	1	2	2	2	1	2	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	1	2	2	2	2	1	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	1	2	2	2	2	2	1	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	1	2	2	2	2	2	2	1	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	1	2	2	2	2	2	2	2	1	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	1	2	2	1	2	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	1	2	2	2	1	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	1	2	2	2	2	1	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	1	2	2	2	2	2	1	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	1	2	2	2	2	2	2	1	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	1	2	1	2	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	1	2	2	1	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	1	2	2	2	1	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	1	2	2	2	2	1	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	1	2	2	2	2	2	1	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	2	1	1	2	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	2	1	2	1	2	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	2	1	2	2	1	2	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	2	1	2	2	2	1	2	0	2	0	0	0	0	0
STEC-ETEC	2	2	2	2	2	1	2	2	2	2	1	0	2	0	0	0	0	0
